ID,CLASS,TITLE,SUBJECTS
000075875001,DR 46 .A3/G56,The Ottoman culture of defeat : the Balkan Wars and their aftermath,"Defeat (Psychology)
Balkan Peninsula--History--War of 1912-1913--Historiography
Balkan Peninsula--History--War of 1912-1913--Psychological Aspects
Ma?lubiyet (Psikoloji)
Balkan Yar?madas?--Tarih--1912-1913 Sava??--Tarihçilik
Balkan Yar?madas?--Tarih--1912-1913 Sava??--Psikolojik Yönler"
000075914001,BF 698.35 .C99/R47,Resilience : how your inner strength can set you free from the past ,"Resilience (Personality Trait)
Self-Management (Psychology)
Resilience, Psychological
Dirençlilik (Ki?isel Özellik)
Özyönetim (Psikoloji)
Dirençlilik, Psikolojik"
000075915001,E 661/.F54,The long Gilded Age : American capitalism and the lessons of a new world order,"Capitalism--United States--History--19th Century
Capitalism--United States--History--20th Century
Labor--United States--History--19th Century
Labor--United States--History--20th Century
Globalization--History--19th Century
Globalization--History--20th Century
United States--History--1865-1921
Kapitalizm--Birle?ik Devletler--Tarih--19. Yüzy?l
Kapitalizm--Birle?ik Devletler--Tarih--20. Yüzy?l
??gücü--Birle?ik Devletler--Tarih--19. Yüzy?l
??gücü--Birle?ik Devletler--Tarih--20. Yüzy?l
Küreselle?me--Tarih--19. Yüzy?l
Küreselle?me--Tarih--20. Yüzy?l
Birle?ik Devletler--Tarih--1865-1921"
000076518001,HF 486 .E6/E75,"Between monopoly and free trade : the English East India Company, 1600-1757","East India Company--History--17th Century
East India Company--History--18th Century
Free Trade--Great Britain--History
Capitalism--History--17th Century
Capitalism--History--18th Century
Europe--Commerce--East Indies
East Indies--Commerce--Europe
Do?u Hindistan ?irketi--Tarih--17. Yüzy?l
Do?u Hindistan ?irketi--Tarih--18. Yüzy?l
Serbest Ticaret--Büyük Britanya--Tarih
Kapitalizm--Tarih--17. Yüzy?l
Kapitalizm--Tarih--18. Yüzy?l
Avrupa--Ticaret--Do?u Hint Adalar?
Do?u Hint Adalar?--Ticaret--Avrupa"
000076519001,HB 501/.C2417,The Cambridge history of capitalism : the rise of capitalism : from Ancient Origins to 1848,"Capitalism--History 
Economic History
Kapitalizm--Tarih
Ekonomi Tarihi"
000077195001,HB 501/.C2417,The Cambridge history of capitalism : the spread of capitalism : from 1848 to the present,"Capitalism--History 
Economic History
Kapitalizm--Tarih
Ekonomi Tarihi"
000077332001,JC 49/.A755,"Politics, law and community in Islamic thought : the Taymiyyan moment","Ibn Taym?yah, A?mad ?bn ?abd Al-?al?m, 1263-1328--Political and Social Views
Islam and State--History
Political Science--Islamic Empire--History
Ibn Taym?yah, A?mad ?bn ?abd Al-?al?m, 1263-1328--Siyasi ve Sosyal Görü?ler
?slam ve Devlet--Tarih
Siyasi Bilimler--?slam ?mparatorlu?u--Tarih"
000077872001,BP 161.3/.A375,What is Islam? : the importance of being Islamic,"Islam
?slam"
000078364001,HG 3903/.B67,Strained relations : US foreign-exchange operations and monetary policy in the twentieth century,"Foreign Exchange--Law and Legislation--United States--History--20th Century
Foreign Exchange Market--History--20th Century
United States--Economic Policy--20th Century
Döviz--Yasa ve Mevzuat--Birle?ik Devletler--Tarih--20. Yüzy?l
Döviz Piyasas?--Tarih--20. Yüzy?l
Birle?ik Devletler--Ekonomi Politikas?--20. Yüzy?l"
000078365001,P 118.2/.S478,Social interaction and L2 classroom discourse,"Second Language Acquisition--Study and Teaching
Language and Languages--Study and Teaching
Conversation Analysis
?kinci Dil Edinimi--E?itim ve Ö?retim
Dil ve Lehçeler--E?itim ve Ö?retim
Sohbet Analizi"
000078812001,ML 3060/.E76,Greek Orthodox music in Ottoman Istanbul : nation and community in the era of reform,"Church Music--Turkey--Istanbul--Orthodox Eastern Church
Orthodox Eastern Church Members--Turkey--Istanbul
Kilise Müzi?i--Türkiye--?stanbul--Do?u Ortadoks Kilisesi
Do?u Ortadoks Kilise Üyeleri--Türkiye--?stanbul"
000079000001,HD 9560.5/.D67,Breaking Rockefeller : the incredible story of the ambitious rivals who toppled an oil empire,"Samuel, Marcus, 1853-1927
Deterding, Henri, 1866-1939
Rockefeller, John Davison, 1839-1937
Petroleum Industry and Trade--History
Standard Oil Company--History
Petrol Sanayi ve Ticaret--Tarih
Standard Oil ?irketi--Tarih"
000079261001,TX 353/.F55,Food : material aspects of food,"Food--History
Food--Social Aspects
G?da--Tarih
G?da--Sosyal Yönler"
000079263001,PS 3563 .A7239/C58,Krallar?n çarp??mas? = A clash of kings,"American Literature--Fantasy Fiction
Amerikan Edebiyat?--Fantastik Roman"
000079266001,PR 5485 .S74/D7,Dr. Jekyll and Mr. Hyde,"English Literature
?ngiliz Edebiyat?"
000079267001,DS 99 .D3/I26,?am tarihine Zeyl : I. ve II. Haçl? Seferleri dönemi,"Syria--History--750-1260
Suriye--Tarih--750-1260"
000079269001,PT 2653 .Z819/Y35,Yak?c? s?r = Brennendes geheimnis,"German Literature
Alman Edebiyat?"
000079271001,B 3313 .N54/T37,Tarihin ya?am için yarar? ve sak?ncas? : zamana ayk?r? bak??lar-2 = Vom nutzen und nachteil der historie für das leben unzeitgemasse betrachtungen - 2,"Nietzsche, Friedrich Wilhelm, 1844-190
History--Philosophy
Tarih--Felesefe"
000079273001,KKX 110 .B47/G86,Adalet yoksa gelecek de yok : Aysel Çelikel kitab?,"Çelikel, Aysel, 1933---Biography
Lawyers--Turkey--Biography
Politicians--Turkey--Biography
Women Law Teachers--Biography
Women Political Activists--Biography
Women--Political Activity--Biography
Avukatlar--Türkiye--Biyografi
Siyasetçiler--Türkiye--Biyografi
Kad?n Hukuk Ö?retmenleri--Biyografi
Kad?n Siyasi Eylemciler--Biyografi
Kad?nlar--Siyasi Faaliyet--Biyografi"
000079275001,PT 2653 .Z819/G6,Gömülü ?amdan = Der begrabene leuchter,"German Fiction
Alman Edebiyat?"
000079276001,PG 3476 .B933/K6719,Köpek kalbi,"Russian Literature--Stories
Rus Edebiyat?--Öyküler"
000079277001,PQ 2469 .V47/A93,Ay'a yolculuk = De la terre à la lune,"Science Fiction, French
Voyages Around the World--Fiction
Bilimkurgu, Frans?z
Dünyan?n Çevresinde Yolculuklar--Roman"
000079283001,PJ 3771 .E5/T8,Bâbil yarat?l?? destan? = Enuma eli?,"Creation
Cosmology, Babylonian
Akkadian Language-- Texts
Yarat?l??
Kozmoloji, Babil
Akad Dili-- Metinler"
000079284001,PR 5397/.F7,"Frankenstein, ya da, modern prometheus","Frankenstein, Victor (Fictitious Character)--Fiction
Frankenstein’s Monster (Fictitious Character)--Fiction
Scientists--Fiction
Monsters--Fiction
Horror Stories
Frankenstein, Victor (Hayali Karakter)--Roman
Frankenstein’?n Canavar? (Hayali Karakter)--Roman
Bilimadamlar?--Roman
Canavarlar--Roman
Korku Hikayeleri"
000079286001,PQ 4694 .R5/G65,Lokantac? kad?n,"Italian Drama
?talyan Tiyatrosu"
000079288001,PG 3464 .T8/G677,Ekme?imi kazan?rken = V lyudyah,"Russian Literature
Soviet Union--Social Life and Customs--Fiction
Rus Edebiyat?
Sovyetler Birli?i--Sosyal Ya?am ve Gelenekler--Roman"
000079290001,PT 2653 .Z819/M87,Mürebbiye,"German Literature--Stories
Alman Edebiyat?--Öyküler"
000079294001,PQ 2228/.L488,?ran mektuplar? = Lettres Persanes,"Iranians--France--Fiction
?ranl?lar--Fransa--Roman"
000079296001,PL 248 .P34/H38,Hat?ralar?n masumiyeti,"Turkish Literature--Narration
Love
Türk Edebiyat?--Anlat?
Sevgi

"
